"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Income Tax - Universal Social Charge (D51A)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1995","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1995","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1995","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1995","Rest of World (S.212)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1996","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1996","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1996","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1996","Rest of World (S.212)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1997","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1997","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1997","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1997","Rest of World (S.212)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1998","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1998","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1998","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1998","Rest of World (S.212)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1999","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1999","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","1999","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","1999","Rest of World (S.212)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","2000","General Government - Total (S.13)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","2000","General Government - Central Government (S.1311)","€milllion","0"
"Income Tax - Universal Social Charge (D51A)","2000","General Government - Local Government (S.1313)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Income Tax - Universal Social Charge (D51A)","2000","Rest of World (S.212)","€milllion",""
