"Institution","Year","Statistic Label","UNIT","VALUE"
"All colleges","2000","Full-time Enrolments to Third Level Courses","Number","115696"
"All colleges","2000","Part-time Enrolments to Third Level Courses","Number","31469"
"All colleges","2000","Entrants to Third Level Courses","Number","35812"
"All colleges","2001","Full-time Enrolments to Third Level Courses","Number","119991"
"All colleges","2001","Part-time Enrolments to Third Level Courses","Number","32265"
"All colleges","2001","Entrants to Third Level Courses","Number","35471"
"All colleges","2002","Full-time Enrolments to Third Level Courses","Number","124589"
"All colleges","2002","Part-time Enrolments to Third Level Courses","Number","34965"
"All colleges","2002","Entrants to Third Level Courses","Number","35219"
"All colleges","2003","Full-time Enrolments to Third Level Courses","Number","129283"
"All colleges","2003","Part-time Enrolments to Third Level Courses","Number","34680"
"All colleges","2003","Entrants to Third Level Courses","Number","35110"
"All colleges","2004","Full-time Enrolments to Third Level Courses","Number","133887"
"All colleges","2004","Part-time Enrolments to Third Level Courses","Number","34000"
"All colleges","2004","Entrants to Third Level Courses","Number","35529"
"All colleges","2005","Full-time Enrolments to Third Level Courses","Number","133691"
"All colleges","2005","Part-time Enrolments to Third Level Courses","Number","34509"
"All colleges","2005","Entrants to Third Level Courses","Number","34461"
"All colleges","2006","Full-time Enrolments to Third Level Courses","Number","136719"
"All colleges","2006","Part-time Enrolments to Third Level Courses","Number","31354"
"All colleges","2006","Entrants to Third Level Courses","Number","35291"
"All colleges","2007","Full-time Enrolments to Third Level Courses","Number","138362"
"All colleges","2007","Part-time Enrolments to Third Level Courses","Number",""
"All colleges","2007","Entrants to Third Level Courses","Number","36328"
"All colleges","2008","Full-time Enrolments to Third Level Courses","Number","139134"
"All colleges","2008","Part-time Enrolments to Third Level Courses","Number","33883"
"All colleges","2008","Entrants to Third Level Courses","Number","36480"
"All colleges","2009","Full-time Enrolments to Third Level Courses","Number","146068"
"All colleges","2009","Part-time Enrolments to Third Level Courses","Number","33027"
"All colleges","2009","Entrants to Third Level Courses","Number","39407"
"All colleges","2010","Full-time Enrolments to Third Level Courses","Number","156973"
"All colleges","2010","Part-time Enrolments to Third Level Courses","Number","32806"
"All colleges","2010","Entrants to Third Level Courses","Number","41290"
"All colleges","2011","Full-time Enrolments to Third Level Courses","Number","161647"
"All colleges","2011","Part-time Enrolments to Third Level Courses","Number","32622"
"All colleges","2011","Entrants to Third Level Courses","Number","41257"
"All colleges","2012","Full-time Enrolments to Third Level Courses","Number","163068"
"All colleges","2012","Part-time Enrolments to Third Level Courses","Number","33778"
"All colleges","2012","Entrants to Third Level Courses","Number","41367"
"All colleges","2013","Full-time Enrolments to Third Level Courses","Number","164863"
"All colleges","2013","Part-time Enrolments to Third Level Courses","Number","35778"
"All colleges","2013","Entrants to Third Level Courses","Number","41661"
"All colleges","2014","Full-time Enrolments to Third Level Courses","Number","169254"
"All colleges","2014","Part-time Enrolments to Third Level Courses","Number","36153"
"All colleges","2014","Entrants to Third Level Courses","Number","42253"
"All colleges","2015","Full-time Enrolments to Third Level Courses","Number","173649"
"All colleges","2015","Part-time Enrolments to Third Level Courses","Number","36975"
"All colleges","2015","Entrants to Third Level Courses","Number","42849"
"All colleges","2016","Full-time Enrolments to Third Level Courses","Number","179850"
"All colleges","2016","Part-time Enrolments to Third Level Courses","Number","39632"
"All colleges","2016","Entrants to Third Level Courses","Number","44043"
"All colleges","2017","Full-time Enrolments to Third Level Courses","Number","181039"
"All colleges","2017","Part-time Enrolments to Third Level Courses","Number","39625"
"All colleges","2017","Entrants to Third Level Courses","Number","43987"
"Higher Education Authority","2000","Full-time Enrolments to Third Level Courses","Number","66914"
"Higher Education Authority","2000","Part-time Enrolments to Third Level Courses","Number","11305"
"Higher Education Authority","2000","Entrants to Third Level Courses","Number","16505"
"Higher Education Authority","2001","Full-time Enrolments to Third Level Courses","Number","69254"
"Higher Education Authority","2001","Part-time Enrolments to Third Level Courses","Number","11313"
"Higher Education Authority","2001","Entrants to Third Level Courses","Number","16210"
"Higher Education Authority","2002","Full-time Enrolments to Third Level Courses","Number","72168"
"Higher Education Authority","2002","Part-time Enrolments to Third Level Courses","Number","13826"
"Higher Education Authority","2002","Entrants to Third Level Courses","Number","16654"
"Higher Education Authority","2003","Full-time Enrolments to Third Level Courses","Number","74922"
"Higher Education Authority","2003","Part-time Enrolments to Third Level Courses","Number","14036"
"Higher Education Authority","2003","Entrants to Third Level Courses","Number","16756"
"Higher Education Authority","2004","Full-time Enrolments to Third Level Courses","Number","77491"
"Higher Education Authority","2004","Part-time Enrolments to Third Level Courses","Number","13420"
"Higher Education Authority","2004","Entrants to Third Level Courses","Number","17454"
"Higher Education Authority","2005","Full-time Enrolments to Third Level Courses","Number","78970"
"Higher Education Authority","2005","Part-time Enrolments to Third Level Courses","Number","16166"
"Higher Education Authority","2005","Entrants to Third Level Courses","Number","17560"
"Higher Education Authority","2006","Full-time Enrolments to Third Level Courses","Number","80801"
"Higher Education Authority","2006","Part-time Enrolments to Third Level Courses","Number","15767"
